time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-05-08T08:42:48.000Z,33.95475027,-84.23324107,256,16,206.6,21.25,3,gps,0.9,0.9,1.3,-26,,,,100,
2019-05-08T08:42:48.841Z,33.95457869,-84.23334365,260,9,205.1,21.25,11,gps,0.7,0.8,1.1,-26,,,,100,
2019-05-08T08:42:50.177Z,33.95434681,-84.23347381,260,8,205.1,21.25,2,gps,0.7,0.8,1.1,-26,,,,100,
2019-05-08T08:42:59.000Z,33.95283384,-84.2343159,252,6,201.4,21.5,10,gps,0.7,0.8,1.1,-26,,,,100,
2019-05-08T08:42:59.832Z,33.95268543,-84.23438556,252,6,201.4,21.25,10,gps,0.8,0.8,1.1,-26,,,,100,
2019-05-08T08:43:01.218Z,33.95243682,-84.23450226,252,8,201.4,21.25,0,gps,0.8,0.8,1.1,-26,,,,100,
2019-05-08T08:43:03.401Z,33.95207365,-84.23462923,251,7,192.9,18.75,0,gps,0.8,0.8,1.1,-26,,,,100,
2019-05-08T08:43:04.739Z,33.9518543,-84.23468941,251,8,192.9,18.75,9,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:43:07.000Z,33.9515516,-84.23477003,251,9,194.9,15.25,0,gps,0.8,0.8,1.1,-26,,,,100,
2019-05-08T08:43:07.812Z,33.95144139,-84.23480523,251,9,194.9,15.25,10,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:43:11.000Z,33.95110528,-84.23497535,244,9,200.6,14,0,gps,0.7,0.7,1,-26,,,,100,
2019-05-08T08:43:13.000Z,33.95097842,-84.23498605,246,8,199.6,8.5,0,gps,0.8,0.7,1.1,-26,,,,100,
